Type,Grain,Origin,Lat,Long,Island,Name,DBD,Org_C_Per,Species,Crown_ras,Com_Ras,Sample_yr,Org_C_Bin,DBD_Avg,SampleType,geometry
Homo,Leeward,Natural,5.89039,-162.093012,Cooper,CI1,0.509690909,7.52473,Cocos,Pandanus tectorius,Cocos,2019,Low,1,Soil & Wood,"c(821914.533800044, 651926.691673532)"
Homo,Leeward,Natural,5.88939,-162.089907,Cooper,CI12,0.422413333,3.93473,Pandanus,Pandanus tectorius,Pandanus,2019,Low,1,Soil & Wood,"c(822259.244681589, 651817.803659414)"
Homo,Leeward,Natural,5.88908,-162.089952,Cooper,CI13,0.419411765,3.98473,Pandanus,Pandanus tectorius,Pandanus,2019,Low,1,Soil & Wood,"c(822254.436189763, 651783.466101823)"
Hetero,Leeward,Natural,5.88898,-162.090062,Cooper,CI15,0.363809524,2.78473,Pandanus,Pandanus tectorius,Scaevola-Heliotropium,2019,Low,1,Soil & Wood,"c(822242.302347353, 651772.334276178)"
Homo,Windward,Natural,5.8901542016,-162.088183566,Cooper,CI16,0.4034,1.58473,Pandanus,Pandanus tectorius,Pandanus,2019,Low,1,Soil & Wood,"c(822449.815646081, 651903.384095622)"
Homo,Windward,Natural,5.89071510231,-162.088005646,Cooper,CI17,0.669645833,3.86473,Pandanus,Pandanus tectorius,Pandanus,2019,Low,1,Soil & Wood,"c(822469.210832009, 651965.568973463)"
Hetero,Windward,Natural,5.88885192054,-162.083412844,Cooper,CI18,0.733936842,1.71473,Pandanus,Pandanus tectorius,Cocos,2019,Low,1,Soil,"c(822979.3209088, 651762.005974934)"
Hetero,Windward,Natural,5.88904254949,-162.085925896,Cooper,CI19,0.848417722,1.29473,Pandanus,Pandanus tectorius,Cocos,2019,Low,1,Soil,"c(822700.681634116, 651781.649989217)"
Homo,Windward,Natural,5.89006765589,-162.087171369,Cooper,CI23,0.955840708,0.71473,Scaevola,Scaevola sericea,Cocos,2019,Low,1,Soil & Wood,"c(822562.049917636, 651894.390676889)"
Homo,Windward,Natural,5.89020456635,-162.087450179,Cooper,CI24,1.062705882,0.80473,Scaevola,Scaevola sericea,Cocos,2019,Low,1,Soil,"c(822531.069566788, 651909.382940849)"
Homo,Windward,Natural,5.89019,-162.092074,Cooper,CI3,0.684269231,3.32473,Cocos,Cocos nucifera,Cocos,2019,Low,1,Soil & Wood,"c(822018.609557612, 651905.097104727)"
Homo,Leeward,Natural,5.88971733867,-162.091608516,Cooper,CI4,0.485016667,5.33473,Heliotropium,Heliotropium foertherianum,Heliotropium-Scaevola,2019,Low,1,Soil & Wood,"c(822070.472891322, 651853.050851302)"
Hetero,Leeward,Manmade,5.88473,-162.098904,Dudley,DI1,0.186564103,9.90473,Heliotropium,Pandanus tectorius,Pisonia/Heliotropium,2019,Low,1,Soil & Wood,"c(821264.770507852, 651296.834525755)"
Hetero,Leeward,Manmade,5.88531,-162.09889,Dudley,DI2,0.273234568,10.70473,Heliotropium,Cocos nucifera,Pisonia/Heliotropium,2019,Med,0.427,Soil & Wood,"c(821265.988593837, 651361.03786923)"
Hetero,Leeward,Manmade,5.88511,-162.098978,Dudley,DI5,0.220792453,23.96473,Pisonia,Pisonia grandis,Pisonia/Heliotropium,2019,High,0.272,Soil & Wood,"c(821256.350372236, 651338.850885883)"
Hetero,Leeward,Manmade,5.884536,-162.099551,Dudley,DI8,0.101160714,37.52473,Pisonia,Pisonia grandis,Pisonia/Heliotropium,2019,High,0.272,Wood,"c(821193.17347158, 651274.989776729)"
Homo,Windward,Natural,5.88601934441,-162.055140429,Eastern,EI1,0.316483333,4.93473,Heliotropium,Heliotropium foertherianum,Pisonia,2019,Low,1,Soil & Wood,"c(826114.53461917, 651464.939698145)"
Homo,Windward,Natural,5.88638,-162.055031,Eastern,EI2,0.399310345,2.16473,Heliotropium,Cocos nucifera,Pisonia,2019,Low,1,Soil,"c(826126.452689992, 651504.923131789)"
Homo,Windward,Natural,5.88557,-162.055206,Eastern,EI5,0.590676923,1.97473,Pisonia,Pisonia grandis,Pisonia,2019,Low,1,Soil & Wood,"c(826107.529289646, 651415.165325776)"
Hetero,Leeward,Manmade,5.88154639011,-162.103373282,Lesley,LI1,0.210526316,12.58473,Cocos,Pisonia grandis,Pisonia/Heliotropium,2019,Med,0.427,Soil & Wood,"c(820771.257491178, 650941.89740062)"
Hetero,Leeward,Manmade,5.88169791936,-162.103166004,Lesley,LI2,0.161061538,24.13473,Cocos,Heliotropium foertherianum,Pisonia/Heliotropium,2019,High,0.272,Soil & Wood,"c(820794.143717208, 650958.787945045)"
Homo,Leeward,Manmade,5.8754565318,-162.10550326,Sand,SI11,0.31644,4.44473,Pisonia,Pisonia grandis,Pisonia,2019,Low,1,Soil & Wood,"c(820538.677079022, 650266.643037842)"
Homo,Leeward,Manmade,5.87524,-162.105853,Sand,SI12,0.272163636,6.28473,Pisonia,Pisonia grandis,Pisonia,2019,Low,1,Soil & Wood,"c(820500.038199344, 650242.476499787)"
Homo,Leeward,Manmade,5.87568,-162.104948,Sand,SI17,0.244635135,5.76473,Pisonia,Pisonia grandis,Pisonia,2019,Low,1,Wood,"c(820600.090597128, 650291.695263567)"
Homo,Leeward,Manmade,5.875365,-162.105414,Sand,SI18,0.271076923,2.67473,Pisonia,Pisonia grandis,Pisonia,2019,Low,1,Wood,"c(820548.622580093, 650256.563425003)"
Homo,Leeward,Manmade,5.87584114026,-162.105232046,Sand,SI5,0.136915789,11.66473,Heliotropium,Heliotropium foertherianum,Pisonia,2019,Med,0.427,Soil & Wood,"c(820568.516466636, 650309.367433569)"
Homo,Leeward,Manmade,5.87555,-162.105687,Sand,SI6,0.149907285,5.12473,Heliotropium,Heliotropium foertherianum,Pisonia,2019,Low,1,Soil & Wood,"c(820518.259012647, 650276.882774737)"
Homo,Leeward,Manmade,5.87615,-162.10503,Sand,SI7,0.218305556,10.16473,Heliotropium,Heliotropium foertherianum,Pisonia,2019,Med,0.427,Soil,"c(820590.732921635, 650343.668236474)"
