attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Type		categorical				
Grain		categorical				
Origin		categorical				
Lat		numeric	!Add units here!			
Long		numeric	!Add units here!			
Island		character				
Name		character				
DBD		numeric	!Add units here!			
Org_C_Per		numeric	!Add units here!			
Species		categorical				
Crown_ras		categorical				
Com_Ras		categorical				
Sample_yr		numeric	!Add units here!			
Org_C_Bin		categorical				
DBD_Avg		numeric	!Add units here!			
SampleType		categorical				
geometry		character				
